baselineId,file,patternId,riskTier,originalText,normalizedTextHash,baselineLocator,baselineContextHash,sourceFileHash,scannerConfigHash,line,column
claim-f9bd33184ba45ab6e106,content/alternatives/clue-alternative-no-cloud.mdx,ftc,HIGH,It has no FTC enforcement history and no documented enforcement for direct data-selling violations.,401e0326887ad1cf209008db2c90f01bcc4413056f42167b9b402ddb01d290a4,body:root.children[1].sentence[1],ba7f4afd80a912da2852aa1cb84faa4bd16f812f3df581716c99f8d4277d288d,59f88e35d9458ed00584298eebed715f28f770e8945962dae4f1b15d0b7ab94a,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,4,68
claim-c79eefcaede867395729,content/alternatives/clue-alternative-no-cloud.mdx,named-case,HIGH,This is especially relevant given [post-Dobbs prosecutions](/resources/guides/reproductive-data-prosecutions-after-dobbs/) that have sought similar data.,5c1dbb0fc0656baf26ca00009bb8f7f84a3799cac320931433e7e37d080f5701,body:root.children[10].sentence[2],9df847f9f1fd42ba40c12087dcd31f0c69f0e00c4ca3b0d90ff9e5c41458500a,59f88e35d9458ed00584298eebed715f28f770e8945962dae4f1b15d0b7ab94a,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,22,403
claim-b0be7af30316bb415cc6,content/alternatives/clue-alternative-no-cloud.mdx,dollar,HIGH,"In May 2022, Vice/Motherboard reporters purchased data from data broker Narrative for approximately $100 that identified Android devices with Clue installed.",9f4ec20f6479e17e93c4e30b281948edfbdbb40aacb83c99a25fb69d16ded11c,body:root.children[5].sentence[0],9dce7b4912a59cc9a4a01ca81d6925fb4f20f2076886019ae59af39299ea332e,59f88e35d9458ed00584298eebed715f28f770e8945962dae4f1b15d0b7ab94a,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,12,101
claim-7ad219527bd75bed315e,content/alternatives/clue-alternative-no-cloud.mdx,ftc,HIGH,"Unlike Flo, which obtained dual ISO 27001 and ISO 27701 certifications after its FTC settlement, Clue has no documented independent third-party privacy certification.",89ca93bfea339887c7269c996fe40b232020987d33ad6032c580b2ad8fc1b174,body:root.children[7].sentence[3],e70db9f6394f0c777689b52af17e76f75beff2a3849513f78ff19acbf45889f6,59f88e35d9458ed00584298eebed715f28f770e8945962dae4f1b15d0b7ab94a,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,16,404
claim-50f8da59673a09c99d20,content/alternatives/cycles-app-alternative.mdx,named-case,HIGH,"In a [post-Dobbs environment](/resources/guides/reproductive-data-prosecutions-after-dobbs/), reproductive health data stored on company servers is legally accessible through subpoena.",09c4e0acfc56b7afafb7364cfbdb3ea3a9244682a5cddd2432596958ebea3427,body:root.children[9].sentence[0],b3d3cf777d36856aefdd650c0cba6dc0167d4f12602c72f669249a4bd59c6a4c,7d5b12ca1debfbb41ea36885c2bb1df6aecc3257ac2064e5fb268e827703b73e,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,23,12
claim-98fdd68a70e22955ab95,content/alternatives/eve-app-alternative.mdx,dollar,HIGH,"If Glow's $250,000 settlement, 25-million-user data exposure, and Mozilla's assessment of its privacy claims concern you, those concerns apply equally to Eve.",54d0909ab8b61010ed72293f40c1b2d083901722a16b281b8858bb2d1047a68c,body:root.children[18].sentence[2],be44a8f165b044358704b034dfb3e33b373e7791494d6828b19747ea3fcd89dd,80907e3cd74c9b7d5635974a142b0142f4882192bf705966e09aeef9a0681ccc,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,42,97
claim-a1a9435b1e62d8d891c1,content/alternatives/eve-app-alternative.mdx,dollar,HIGH,"In September 2020, Glow settled with the California Attorney General for $250,000.",7425a8db9fb53704fde5392d3d06763d168f86712ea350a1741e7370e005b510,body:root.children[2].sentence[0],895ca3426c25f2f6a1011a00afd1f4cc7293487daa6e83e525986a99deb5d789,80907e3cd74c9b7d5635974a142b0142f4882192bf705966e09aeef9a0681ccc,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,6,74
claim-0a2727244b827b3a17eb,content/alternatives/femometer-app-alternative.mdx,named-case,HIGH,"US state health data privacy laws, including those passed specifically to protect reproductive health information after Dobbs, do not apply to data stored on servers in China.",b985b860a9efb6cdcf403675326898ca9ebb2dc115c407780a82fa765961beb7,body:root.children[2].sentence[2],214038b7cce34a7e10cc42dbdc0fe8ab7ff7c5493da9b3e243262d5a6b6fa8d2,908d6f1518e3fa99409a2880811519237746a3969141a2658a5a3cfc9e224c67,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,6,309
claim-9e4693b595ecd50ae5d5,content/alternatives/femometer-app-alternative.mdx,named-case,HIGH,"In a [post-Dobbs environment](/resources/guides/reproductive-data-prosecutions-after-dobbs/), reproductive health data has become legally sensitive in multiple US states.",c47bcb766a24b3639c75facf525e30443245ad3b235738c518d0a240428c298f,body:root.children[9].sentence[1],afa8709ba033c05c7cfb2560e17f541452aeac780e46ddd1fd86df7eb3cdec83,908d6f1518e3fa99409a2880811519237746a3969141a2658a5a3cfc9e224c67,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,20,93
claim-e2a9e9f63184a3f7da45,content/alternatives/flo-app-alternative.mdx,ftc,HIGH,The FTC took enforcement action against Flo Health in January 2021.,ef7abe09c2d1a24523b60ac94711045a753ac52befbd8020aad07a406df07ab3,body:root.children[1].sentence[0],25109c383e5fecf017b819aa056cc5b8b10d90f57b05f69a2910640c7f6ce4d5,832e5d97125cc64bc34af49727380f9025d9ab240117164189884c0e3b45057e,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,4,5
claim-4b00f92b05ac0136a3e8,content/alternatives/flo-app-alternative.mdx,dollar,HIGH,"In September 2025, a combined [$59.5M class action settlement](/resources/guides/flo-period-tracker-lawsuit-settlement/) resolved claims by millions of Flo users.",83227372c76e00669a439aac3f811a9b765d4f3332d38310af33c88ed6dab356,body:root.children[2].sentence[0],b5c63c6b173573b063c0049cbf812ed87beb738292ddd7a17266b12bbcc1f1e2,832e5d97125cc64bc34af49727380f9025d9ab240117164189884c0e3b45057e,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,6,32
claim-e9fe8c1bfe781e34b460,content/alternatives/flo-app-alternative.mdx,ftc,HIGH,"It is a documented, FTC-sanctioned, jury-confirmed pattern of sharing intimate health data with advertising infrastructure.",7ba37ae7193c1b25e0459ef013231baf78306cf6f08d0d6e1dc37e762d855c6a,body:root.children[3].sentence[1],a2e3a22dbf80d303b9923d9c7006cbf10ff29da223c026120181d467d7d9035d,832e5d97125cc64bc34af49727380f9025d9ab240117164189884c0e3b45057e,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,8,51
claim-14bc0554bc3ff1c800b8,content/alternatives/flo-app-alternative.mdx,ftc,HIGH,"Flo's Anonymous Mode, launched after the FTC enforcement action, puts privacy behind a paywall.",e78e0d2b5a2116ea20636243baabfae27392a86c9dc111c53f166af4d982fd9c,body:root.children[5].sentence[0],01adc004c8e83feb645f5b8a0deb03383f246cf4c815eb14c935c0c3c2b7ddb3,832e5d97125cc64bc34af49727380f9025d9ab240117164189884c0e3b45057e,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,12,42
claim-1429bbf77781bab639d5,content/alternatives/flo-app-alternative.mdx,named-case,HIGH,That is a real risk in [post-Dobbs](/resources/guides/reproductive-data-prosecutions-after-dobbs/) states.,f8fefb59934deaca9d54beeef0734652681b69fc6ea79f0292dc2f899e50081b,body:root.children[5].sentence[4],01adc004c8e83feb645f5b8a0deb03383f246cf4c815eb14c935c0c3c2b7ddb3,832e5d97125cc64bc34af49727380f9025d9ab240117164189884c0e3b45057e,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,12,323
claim-570fec0dd20efe1a690d,content/alternatives/glow-app-alternative.mdx,since-date,HIGH,Glow is a period and fertility tracker that has been available since 2013.,0cf87127cdcabb4fee41c231895e8ef5492edeaeecdb5f2e1f4dc2f08975f11a,body:root.children[1].sentence[0],9a6d1285eb20b0adb979a6e056c0d7b4422e37f225bf4ff026708fdc83647bae,14c50fffabf42d939dfe4b5561adb0a254697d7d0104c963199fda8b3bb6596c,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,4,64
claim-0ff0742f4f7bc75d8742,content/alternatives/glow-app-alternative.mdx,dollar,HIGH,"In September 2020, Glow settled with the California Attorney General for $250,000.",7425a8db9fb53704fde5392d3d06763d168f86712ea350a1741e7370e005b510,body:root.children[4].sentence[1],ed4d8126405161eecca002e96800d8413d542e6a97789e48390d8feb0b7a9f03,14c50fffabf42d939dfe4b5561adb0a254697d7d0104c963199fda8b3bb6596c,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,10,126
claim-9626f166bcf457cede08,content/alternatives/how-to-switch-from-glow.mdx,ftc,HIGH,No FTC enforcement action has been confirmed against Glow.,370a6cfd72d5b5146ef001a121606c150d9afacea40f55f1f7ab789cc6301cbd,body:root.children[2].sentence[0],0c49521e6fd0ccf13b132dc04fea4fa2fa0ff0fe4047c2dc78f136bcb13571e7,dcdefbdc31429fe5b63a97dfaedd61c11e5bbdf274090836914e61eb0ef889c1,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,6,4
claim-65bb5a23a451f09972c9,content/alternatives/how-to-switch-from-glow.mdx,dollar,HIGH,"For users who have been watching what happened with Flo's $59.5M settlement and are reconsidering every period app that stores data in the cloud, Glow is an obvious next question.",024b38df6457c58f48b1c7090bdf82d74a999ef0927e93154340ec0de49e9c32,body:root.children[3].sentence[0],2056429f34c4a7acc9f0ada76acca3e004acffca19bb46b7be3606a5783de784,dcdefbdc31429fe5b63a97dfaedd61c11e5bbdf274090836914e61eb0ef889c1,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,8,59
claim-650f932f5bab1fe2a824,content/alternatives/how-to-switch-from-ovia.mdx,ftc,HIGH,No FTC enforcement action has been confirmed against Ovia or Labcorp related to this data.,91a22792e61d013e92932d49e9752c9bf2f1ccecc42278428253e95e5aea4f4b,body:root.children[4].sentence[0],299c22cd64c6bf36e38088fb1e42c95aa50542c8e224c359f51e2817937a1ad9,5e2837339114adad9244cdfd4b8e43f7258bca2323c30549cfb0f866a10f627d,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,10,4
claim-72db04f878a0500a08c9,content/alternatives/how-to-switch-from-period-calendar.mdx,ftc,HIGH,No FTC enforcement action has been confirmed against either developer.,8deb62a39b0accee8d40248aae4953c15b41b2f25c6af34b80e4844cc663e250,body:root.children[3].sentence[0],f06ccb01bdca056c4b3a45f92ebfd44dec187443027f90e1d7cfbba1367ab81f,99b7d1be8e1ce076d65ebbc2877c60d7e4599f0454cc17e6fe543068f50b44b2,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,8,4
claim-827a64505487d35fa233,content/alternatives/how-to-switch-from-period-calendar.mdx,ftc,HIGH,"If you have been using either of these apps and are reconsidering after following the Flo settlement or the Premom FTC action, this guide covers the exit cleanly.",1361075a5bf372ed977bd07a684f8fe154c8ca5181a494058e05417801c56c71,body:root.children[4].sentence[0],598d19a3be195f6888424ec3b3b45981bc85c120ffbd1d4942bdec2095456585,99b7d1be8e1ce076d65ebbc2877c60d7e4599f0454cc17e6fe543068f50b44b2,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,10,116
claim-c5a1c640f745e5ee103b,content/alternatives/how-to-switch-from-premom.mdx,ftc,HIGH,"In May 2023, the FTC took enforcement action against Easy Healthcare Corporation, the company behind Premom.",f60dbcc4e436e192f3ec95e68b994805a4c4668f99e1ac214b3c3046d3837a4b,body:root.children[1].sentence[0],9a9137f60e135ef6a6f5111f4da0ad42265bec347d38f5ea12e93765545d216f,be0ce238a825251f396cbc708d9bb5c3732fda208b14e00bf0944106f9f49c27,e8cd847fd14f4d9854ae328352ad1f93f72e83217586df8bc295879bc055c99c,4,18
