pillar|title|slug|collection|buyerStage|targetPersona|targetKeyword|format|valueAsset|requiredSources|internalLinks|status
Practical privacy and legal safety|Audit Period Data on iPhone|audit-period-data-on-iphone|privacy-in-practice|mofu|privacy-conscious;iphone-user|audit period data on iphone|checklist guide|Step-by-step iPhone audit checklist for installed apps, Apple Health, permissions, backups, notifications, and old App Store purchases|FTC Flo 2021 for documented app data sharing context|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/does-apple-health-share-period-data;/free/period-app-privacy-audit-kit;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-31
Practical privacy and legal safety|Audit Period Data on Android|audit-period-data-on-android|privacy-in-practice|mofu|privacy-conscious;android-user|audit period data on android|checklist guide|Step-by-step Android audit checklist for installed apps, Health Connect, Google Fit, permissions, backups, Play history, and old accounts|FTC Premom 2023 for documented app data sharing context|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/google-fit-menstrual-data-privacy;/free/period-app-privacy-audit-kit;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-31
Free tools, templates, and self-checks|Is My Period App Asking Too Much?|is-my-period-app-asking-too-much-quiz|questionnaires|mofu|privacy-conscious;period-app-switcher|is my period app asking too much data|quiz/self-check|Permission and account risk self-check that helps readers decide whether an app asks for too much data|FTC Flo 2021 and FTC Premom 2023 for documented app data sharing context|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/free/period-app-privacy-audit-kit;/resources/guides/period-app-privacy-red-flags;/resources/guides/how-period-tracker-apps-collect-data;/resources/guides/what-is-zero-knowledge-period-tracker|drafted-pilot
Practical privacy and legal safety|Check Your Period App for Trackers|check-period-app-for-trackers|privacy-in-practice|mofu|privacy-conscious;period-app-switcher|period app trackers|field guide|Tracker lookup worksheet for SDKs, app labels, network clues, and policy language|FTC Flo; FTC Premom; Norwegian Consumer Council; Mozilla Privacy Not Included|/resources/guides/how-sdks-leak-period-data;/resources/guides/how-period-tracker-apps-collect-data;/resources/guides/period-app-privacy-red-flags;/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/tools/quiz/is-my-period-app-asking-too-much-quiz|consolidated-2026-07-31
Practical privacy and legal safety|Turn Off Period Data in Apple Health|turn-off-period-data-apple-health|privacy-in-practice|mofu|privacy-conscious;iphone-user|remove period data from Apple Health|checklist guide|Apple Health cleanup checklist for cycle data, app permissions, iCloud, and backups|Current Apple Support Health permissions and iCloud Health docs; FTC Flo context|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/does-apple-health-share-period-data;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-31
Practical privacy and legal safety|Turn Off Period Data in Health Connect|turn-off-period-data-health-connect|privacy-in-practice|mofu|privacy-conscious;android-user|remove period data from Health Connect|checklist guide|Android Health Connect cleanup checklist with permission reset steps|Current Google Health Connect and Google Fit help docs; FTC Premom context|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/google-fit-menstrual-data-privacy;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-31
Free tools, templates, and self-checks|Old Period App Cleanup Plan|old-period-app-cleanup-plan|lead-magnets|mofu|privacy-conscious;period-app-switcher|delete old period tracker account|HTML worksheet|Account cleanup tracker for old apps, emails, exports, deletion requests, and follow-ups|FTC Flo; FTC Premom; JHU deleting period trackers; current app privacy contacts if app names are used|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/guides/what-happens-period-data-delete-app;/free/delete-period-data-guide|consolidated-2026-07-06
Free tools, templates, and self-checks|Period App Privacy Policy Worksheet|period-app-privacy-policy-worksheet|lead-magnets|mofu|privacy-conscious;careful-buyer|period tracker privacy policy checklist|worksheet|Plain-language policy review grid for data types, sharing, deletion, ads, and law enforcement|Current target app privacy policies; FTC enforcement docs; Consumer Reports privacy guide|/resources/guides/how-to-read-period-tracker-privacy-policy;/resources/guides/period-app-privacy-red-flags;/resources/guides/understanding-period-app-data-policies;/free/period-app-privacy-audit-kit|consolidated-2026-07-06
Practical privacy and legal safety|Period Tracking on a Shared Phone|period-tracking-on-shared-phone|privacy-in-practice|mofu|privacy-conscious;shared-device-user|private period tracking shared phone|safety checklist|Shared-phone risk checklist for app visibility, notifications, backups, browser history, and exports|Current Apple and Android app hiding or notification docs; safety sources only if claims are made|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/privacy-in-practice/period-tracking-privacy-for-teens-and-students;/compare/versus/teen-safe-period-trackers-compared|consolidated-2026-07-31
Practical privacy and legal safety|Lock Down Period App Notifications|period-app-notification-privacy|privacy-in-practice|mofu|privacy-conscious;lock-screen-privacy-user|period app notification privacy|procedure|Lock-screen notification settings checklist for iOS and Android|Current Apple and Google notification help docs; pilot app permission context|/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
Practical privacy and legal safety|Partner Sync Privacy Checklist|partner-sync-privacy-checklist|privacy-in-practice|mofu|privacy-conscious;partner-sharing-user|period tracker partner sync privacy|checklist guide|Consent and access checklist for partner sharing, revoking access, breakups, and copied data|Current partner-sharing app policies if named; existing partner-access page; legal caveats for divorce or custody claims|/resources/privacy-in-practice/partner-access-period-tracker-data;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/best/best-period-tracker-for-couples|consolidated-2026-07-31
Free tools, templates, and self-checks|Period Data Broker Opt-Out Starter|period-data-broker-opt-out-starter|lead-magnets|mofu|privacy-conscious;data-broker-worried-user|reproductive data broker opt out|starter kit|Broker opt-out starter sheet with profile signals to reduce going forward|FTC data broker actions; Privacy International; data broker registry pages; current CCPA or CPRA only where used|/resources/guides/data-brokers-reproductive-health;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/guides/femtech-data-monetization|consolidated-2026-07-06
Free tools, templates, and self-checks|Cloud or Local Period Tracker Quiz|cloud-or-local-period-tracker-quiz|questionnaires|mofu|privacy-conscious;period-app-switcher|cloud vs local period tracker quiz|quiz/self-check|Decision quiz that maps needs to local, encrypted sync, paper, or cloud tradeoffs|Existing cloud/local guide; Consumer Reports; AllAboutCookies; current competitor policies if named|/resources/guides/on-device-storage-period-tracker;/resources/guides/period-tracking-without-cloud;/compare/versus/cloud-vs-local-period-trackers;/resources/best/best-private-period-tracker-apps;/tools/quiz/should-you-switch-period-trackers|drafted-batch-1
Health tracking and clinical prep|Abnormal Bleeding Diary for a Doctor Visit|abnormal-bleeding-diary-doctor-visit|lead-magnets|tofu|doctor-prep;symptom-tracker|abnormal bleeding diary|HTML worksheet|Visit-ready bleeding diary with flow, clots, pain, timing, pregnancy test, medication, and question prompts|ACOG Abnormal Bleeding Diary; ACOG Abnormal Uterine Bleeding; Office on Women's Health period problems|/resources/symptom-guides/heavy-period-bleeding-causes;/resources/symptom-guides/spotting-vs-period;/resources/life-stage-guides/perimenopause-period-changes;/free/first-period-starter-kit;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Health tracking and clinical prep|Heavy Period Visit Prep Checklist|heavy-period-visit-prep-checklist|lead-magnets|tofu|heavy-bleeding;doctor-prep|heavy period checklist|HTML checklist|Appointment prep sheet for heavy bleeding history, product counts, clots, fatigue, medications, and questions|ACOG Heavy Menstrual Bleeding; Office on Women's Health menstrual cycle; ACOG Abnormal Uterine Bleeding|/resources/symptom-guides/heavy-period-bleeding-causes;/resources/condition-guides/menorrhagia-heavy-periods-guide;/resources/condition-guides/anemia-heavy-periods;/free/abnormal-bleeding-log;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Health tracking and clinical prep|Ovulation Spotting Tracker|ovulation-spotting-tracker|symptom-guides|tofu|cycle-symptom-tracker|spotting during ovulation|tracker guide|Cycle-day spotting tracker that separates timing, amount, pain, sex, medication, and when to call a clinician|ACOG Abnormal Uterine Bleeding; Office on Women's Health period problems; Office on Women's Health menstrual cycle|/resources/symptom-guides/spotting-vs-period;/resources/symptom-guides/spotting-before-period;/resources/symptom-guides/signs-of-ovulation;/resources/guides/ovulation-tracking-how-apps-work;/free/abnormal-bleeding-log|drafted-batch-2
